Date,SP_Price,Open,High,Low,Vol.,Change %
18-Feb-20,"3,370.29","3,369.04","3,375.01","3,355.61",-,-0.29%
14-Feb-20,"3,380.16","3,378.08","3,380.69","3,366.15",-,0.18%
13-Feb-20,"3,373.94","3,365.90","3,385.09","3,360.52",-,-0.16%
12-Feb-20,"3,379.45","3,370.50","3,381.47","3,369.72",-,0.65%
11-Feb-20,"3,357.75","3,365.87","3,375.63","3,352.72",-,0.17%
10-Feb-20,"3,352.09","3,318.28","3,352.26","3,317.77",-,0.73%
7-Feb-20,"3,327.71","3,335.54","3,341.42","3,322.12",-,-0.54%
6-Feb-20,"3,345.78","3,344.92","3,347.96","3,334.39",-,0.33%
5-Feb-20,"3,334.69","3,324.91","3,337.58","3,313.75",-,1.13%
4-Feb-20,"3,297.59","3,280.61","3,306.92","3,280.61",-,1.50%
3-Feb-20,"3,248.92","3,235.66","3,268.44","3,235.66",-,0.73%
31-Jan-20,"3,225.52","3,282.33","3,282.33","3,214.68",-,-1.77%
30-Jan-20,"3,283.66","3,256.45","3,285.91","3,242.80",-,0.31%
29-Jan-20,"3,273.40","3,289.46","3,293.47","3,271.89",-,-0.09%
28-Jan-20,"3,276.24","3,255.35","3,285.78","3,253.22",-,1.01%
27-Jan-20,"3,243.63","3,247.16","3,258.85","3,234.50",-,-1.57%
24-Jan-20,"3,295.47","3,333.10","3,333.18","3,281.53",-,-0.90%
23-Jan-20,"3,325.54","3,315.77","3,326.88","3,301.87",-,0.11%
22-Jan-20,"3,321.75","3,330.02","3,337.77","3,320.04",-,0.03%
21-Jan-20,"3,320.79","3,321.03","3,329.79","3,316.61",-,-0.27%
17-Jan-20,"3,329.62","3,323.66","3,329.88","3,318.86",-,0.39%
16-Jan-20,"3,316.81","3,302.97","3,317.11","3,302.82",-,0.84%
15-Jan-20,"3,289.29","3,282.27","3,298.66","3,280.69",-,0.19%
14-Jan-20,"3,283.15","3,285.35","3,294.25","3,277.19",-,-0.15%
13-Jan-20,"3,288.13","3,271.13","3,288.13","3,268.43",-,0.70%
10-Jan-20,"3,265.35","3,281.81","3,282.99","3,260.86",-,-0.29%
9-Jan-20,"3,274.70","3,266.03","3,275.58","3,263.67",-,0.67%
8-Jan-20,"3,253.05","3,238.59","3,267.07","3,236.67",-,0.49%
7-Jan-20,"3,237.18","3,241.86","3,244.91","3,232.43",-,-0.28%
6-Jan-20,"3,246.28","3,217.55","3,246.84","3,214.64",-,0.35%
3-Jan-20,"3,234.85","3,226.36","3,246.15","3,222.34",-,-0.71%
2-Jan-20,"3,257.85","3,244.67","3,258.14","3,235.53",-,0.84%
31-Dec-19,"3,230.78","3,215.18","3,231.72","3,212.03",-,0.29%
30-Dec-19,"3,221.29","3,240.09","3,240.92","3,216.57",-,-0.58%
27-Dec-19,"3,240.02","3,247.23","3,247.93","3,234.37",-,0.00%
26-Dec-19,"3,239.91","3,227.20","3,240.08","3,227.20",-,0.51%
24-Dec-19,"3,223.38","3,225.45","3,226.43","3,220.51",-,-0.02%
23-Dec-19,"3,224.01","3,226.05","3,227.78","3,222.30",-,0.09%
20-Dec-19,"3,221.22","3,223.33","3,225.65","3,216.03",-,0.49%
19-Dec-19,"3,205.37","3,192.32","3,205.48","3,192.32",-,0.45%
18-Dec-19,"3,191.14","3,195.21","3,198.48","3,191.14",-,-0.04%
17-Dec-19,"3,192.52","3,195.40","3,198.22","3,191.03",-,0.03%
16-Dec-19,"3,191.45","3,183.63","3,197.71","3,183.63",-,0.71%
13-Dec-19,"3,168.80","3,166.65","3,182.68","3,156.51",-,0.01%
12-Dec-19,"3,168.57","3,141.23","3,176.28","3,138.47",-,0.86%
11-Dec-19,"3,141.63","3,135.75","3,143.98","3,133.21",-,0.29%
10-Dec-19,"3,132.52","3,135.36","3,142.12","3,126.09",-,-0.11%
9-Dec-19,"3,135.96","3,141.86","3,148.87","3,135.46",-,-0.32%
6-Dec-19,"3,145.91","3,134.62","3,150.60","3,134.62",-,0.91%
5-Dec-19,"3,117.43","3,119.21","3,119.45","3,103.76",-,0.15%
4-Dec-19,"3,112.76","3,103.50","3,119.38","3,102.53",-,0.63%
3-Dec-19,"3,093.20","3,087.41","3,094.97","3,070.33",-,-0.66%
2-Dec-19,"3,113.87","3,143.85","3,144.31","3,110.78",-,-0.86%
29-Nov-19,"3,140.98","3,147.18","3,150.30","3,139.34",-,-0.40%
27-Nov-19,"3,153.63","3,145.49","3,154.26","3,143.41",-,0.42%
26-Nov-19,"3,140.52","3,134.85","3,142.69","3,131.00",-,0.22%
25-Nov-19,"3,133.64","3,117.44","3,133.83","3,117.44",-,0.75%
22-Nov-19,"3,110.29","3,111.41","3,112.87","3,099.26",-,0.22%
21-Nov-19,"3,103.54","3,108.49","3,110.11","3,094.55",-,-0.16%
20-Nov-19,"3,108.46","3,114.66","3,118.97","3,091.41",-,-0.38%
19-Nov-19,"3,120.18","3,127.45","3,127.64","3,113.47",-,-0.06%
18-Nov-19,"3,122.03","3,117.91","3,124.17","3,112.06",-,0.05%
15-Nov-19,"3,120.46","3,107.92","3,120.46","3,104.60",-,0.77%
14-Nov-19,"3,096.63","3,090.75","3,098.20","3,083.26",-,0.08%
13-Nov-19,"3,094.04","3,084.18","3,098.06","3,078.80",-,0.07%
12-Nov-19,"3,091.84","3,089.28","3,102.61","3,084.73",-,0.16%
11-Nov-19,"3,087.01","3,080.33","3,088.33","3,075.82",-,-0.20%
8-Nov-19,"3,093.08","3,081.25","3,093.09","3,073.58",-,0.26%
7-Nov-19,"3,085.18","3,087.02","3,097.77","3,080.23",-,0.27%
6-Nov-19,"3,076.78","3,075.10","3,078.34","3,065.89",-,0.07%
5-Nov-19,"3,074.62","3,080.80","3,083.95","3,072.15",-,-0.12%
4-Nov-19,"3,078.27","3,078.96","3,085.20","3,074.87",-,0.37%
1-Nov-19,"3,066.91","3,050.72","3,066.95","3,050.72",-,0.97%
31-Oct-19,"3,037.56","3,046.90","3,046.90","3,023.19",-,-0.30%
30-Oct-19,"3,046.77","3,039.74","3,050.10","3,025.96",-,0.33%
29-Oct-19,"3,036.89","3,035.39","3,047.87","3,034.81",-,-0.08%
28-Oct-19,"3,039.42","3,032.12","3,044.08","3,032.12",-,0.56%
25-Oct-19,"3,022.55","3,003.32","3,027.39","3,001.94",-,0.41%
24-Oct-19,"3,010.29","3,014.78","3,016.07","3,000.42",-,0.19%
23-Oct-19,"3,004.52","2,994.01","3,004.78","2,991.21",-,0.28%
22-Oct-19,"2,995.99","3,010.73","3,014.57","2,995.04",-,-0.36%
21-Oct-19,"3,006.72","2,996.48","3,007.33","2,995.35",-,0.69%
18-Oct-19,"2,986.20","2,996.84","3,000.00","2,976.31",-,-0.39%
17-Oct-19,"2,997.95","3,000.77","3,008.29","2,991.79",-,0.28%
16-Oct-19,"2,989.69","2,989.68","2,997.54","2,985.20",-,-0.20%
15-Oct-19,"2,995.68","2,973.61","3,003.28","2,973.61",-,1.00%
14-Oct-19,"2,966.15","2,965.81","2,972.84","2,962.94",-,-0.14%
11-Oct-19,"2,970.27","2,963.07","2,993.28","2,963.07",-,1.09%
10-Oct-19,"2,938.13","2,918.55","2,948.46","2,917.12",-,0.64%
9-Oct-19,"2,919.40","2,911.10","2,929.32","2,907.41",-,0.91%
8-Oct-19,"2,893.06","2,920.40","2,925.47","2,892.66",-,-1.56%
7-Oct-19,"2,938.79","2,944.23","2,959.75","2,935.68",-,-0.45%
4-Oct-19,"2,952.01","2,918.56","2,953.74","2,918.56",-,1.42%
3-Oct-19,"2,910.63","2,885.38","2,911.13","2,855.94",-,0.80%
2-Oct-19,"2,887.61","2,924.78","2,924.78","2,874.93",-,-1.79%
1-Oct-19,"2,940.25","2,983.69","2,992.53","2,938.70",-,-1.23%
30-Sep-19,"2,976.74","2,967.07","2,983.85","2,967.07",-,0.50%
27-Sep-19,"2,961.79","2,985.47","2,987.31","2,945.53",-,-0.53%
26-Sep-19,"2,977.62","2,985.73","2,987.28","2,963.71",-,-0.24%
25-Sep-19,"2,984.87","2,968.35","2,989.82","2,952.86",-,0.62%
24-Sep-19,"2,966.60","3,002.43","3,007.98","2,957.73",-,-0.84%
23-Sep-19,"2,991.78","2,983.50","2,999.15","2,982.23",-,-0.01%
20-Sep-19,"2,992.07","3,008.42","3,016.37","2,984.68",-,-0.49%
19-Sep-19,"3,006.79","3,010.36","3,021.99","3,003.16",-,0.00%
18-Sep-19,"3,006.73","3,001.50","3,007.83","2,978.57",-,0.03%
17-Sep-19,"3,005.70","2,995.67","3,006.21","2,993.73",-,0.26%
16-Sep-19,"2,997.96","2,996.41","3,002.19","2,990.67",-,-0.31%
13-Sep-19,"3,007.39","3,012.21","3,017.33","3,002.90",-,-0.07%
12-Sep-19,"3,009.57","3,009.08","3,020.74","3,000.92",-,0.29%
11-Sep-19,"3,000.93","2,981.41","3,000.93","2,975.31",-,0.72%
10-Sep-19,"2,979.39","2,971.01","2,979.39","2,957.01",-,0.03%
9-Sep-19,"2,978.43","2,988.43","2,989.43","2,969.39",-,-0.01%
6-Sep-19,"2,978.71","2,980.33","2,985.03","2,972.51",-,0.09%
5-Sep-19,"2,976.00","2,960.60","2,985.86","2,960.60",-,1.30%
4-Sep-19,"2,937.78","2,924.67","2,938.84","2,921.86",-,1.08%
3-Sep-19,"2,906.27","2,909.01","2,914.39","2,891.85",-,-0.69%
30-Aug-19,"2,926.46","2,937.09","2,940.43","2,913.32",-,0.06%
29-Aug-19,"2,924.58","2,910.37","2,930.50","2,905.67",-,1.27%
